00.01.Navigations,,List of Knowledge Contributions – KNIFES,,,,,,,,,,,,,,,,,Stlpce pre automaticke generovanie md súborov,,
id,Category,title,Status,Type,Priority,Author,Description,created,"Context, Origin, Why it was initiated?",Technology,SFIA – Level,SFIA – Domain (?),SFIA – Maturity,Related KNIFE,Tags,Potential Outputs,Owner,Comment,FolderName,SidebarLabel,LinkSlug
K000001,Methodology,EA modelovanie a motivácia,hotové,Metodika / Nástroj,🎯,Roman Kazicka,Systém motivácie pomocou lízaniek a spätnej väzby,01.03.2024,"Jedno z prvých TERNO, vzniklo pri návrhu systému motivácie v rámci tímu",,2,Business Analysis / Modelling,Diagrammatic,,,,,,,,
K000002,Verzionanie-sdlc,Git workflow pre EA modely,v procese,Integrácia,🔥,Roman Kazicka,"Multirelease stratégie, LemonTree, merge politiky",04.03.2024,Založené na reálnej potrebe riešiť multirelease workflow pre EA,,3,Configuration Management,Tool-based,,,,,,,,
K000003,Platformy,LibreOffice + Python integrácia,v procese,Vývoj / Integrácia,🔥,Roman Kazicka,Skriptovanie v LO cez Python a venv izolácie,08.03.2024,Reakcia na požiadavku na moderný vývoj v LibreOffice – Python/venv,,3,Software Development,Scriptable,,,,,,,,
K000004,Technologie,Docker pre študentov (K12),plánované,Edukačné,🧠,Roman Kazicka,Zjednodušené návody a obrázky pre začiatočníkov,20.03.2024,Vzniklo ako návrh edukačného materiálu pri tvorbe kurzov pre Docker,,2,DevOps / Infrastructure,Learning-based,,,,,,,,
K000005,RiverOfMyLife,BaZi pre racionálne duše,zaradené,Osobný rozvoj / Algoritmika,💡,Roman Kazicka,Sebapoznanie cez dátum a čas narodenia (BaZi),18.04.2025,Záznam vznikol počas diskusie o TCM a racionálnom prístupe k BaZi,,2,Knowledge Engineering,Exploratory,,,,,,,,
K000006,UserGuide,Tímová správa práv v Gitea,pripomenúť,Správa Gitea / Práva,📌,Roman Kazicka,"Rozdelenie práv podľa tímov, chránené vetvy, PR politiky",08.04.2024,Zaznamenané počas diskusie o Gitea právach a workflow – T002,,3,Configuration Management,Tool-based,,,,,,,,
K000007,UserGUide,Helper skript na obrázky v Markdown,aktívne,Správa/Automatizácia,⚙️,Roman Kazicka,Generovanie obrázkových blokov do .md vrátane URL,17.04.2024,Vzniklo pri návrhu Markdown workflow helpera – súvisiace s T007,,2,General Knowledge Work,Adaptive,,,,,,,,
K000008,Leadership,DCMM a DAO – hodnota leadershipu,plánované,Hodnoty / Strategické,🧭,Roman Kazicka,"Sebariadenie, dôvera a samočistiace systémy",04.04.2024,Diskusia o leadership kvalite v rámci strategických tém – T008,,2,Business Analysis / Modelling,Diagrammatic,,,,,,,,
K000009,Marketing,LinkedIn post engine – AI automatizácia,koncept,Marketing / AI,🧪,Roman Kazicka,Generovanie postov na LinkedIn z obsahu,10.04.2024,"Myšlienka z praxe na LinkedIn, súvis s T009 a zdieľaním obsahu",,2,General Knowledge Work,Adaptive,,,,,,,,
K000010,Products,OpenAI klient – vlastná AI komunikácia,začiatok,Vývoj / AI,⚡,Roman Kazicka,Appka s prepojením na OpenAI API a archív komunikácie,13.04.2024,"Začiatok vývoja AI nástroja, súvisí s plánom T018",,2,General Knowledge Work,Adaptive,,,,,,,,
K000011,LO vývoj,Main.xba šablóna pre LO Basic,v backlogu,Šablóny / LO,🧱,Roman Kazicka,Základná štartovacia knižnica makier v LibreOffice,09.04.2024,Téma makier v LibreOffice – samostatný štartovací modul,,2,General Knowledge Work,Adaptive,,,,,,,,
K000012,ModelValidation,EA Workflow Add-In – pokročilé šablóny,v backlogu,QualityOFModel/EA Add-In,📂,Roman Kazicka,Workflow pre pokročilých analytikov v EA,10.04.2024,Rozšírenie pre EA Add-In v rámci T012,,3,Configuration Management,Tool-based,,,,,,,,
K000013,ModelValidation,ReadOnlyControl v EA – Workflow Add-In,koncept,EA Add-In,🔒,Roman Kazicka,Obmedzenie práv v EA na základe kontextu a roly,10.04.2024,Doplnok k EA Add-In – konkrétne obmedzenia práv (ReadOnly),,3,Configuration Management,Tool-based,,,,,,,,
K000014,LO Development,Manažér knižníc pre LO Basic,návrh,LibreOffice / Knižnice,📚,Roman Kazicka,Načítanie a správa knižníc v LO Basic,10.04.2024,Nástroj pre správu LO knižníc – samostatne definovaný,,2,General Knowledge Work,Adaptive,,,,,,,,
K000015,LO Vývoj,LibreOffice Basic → Python migrácia,aktívne,Migrácia / Vývoj,🔁,Roman Kazicka,Konverzia VB makier do Python skriptov,13.04.2024,Migrácia z VB do Python – vzniklo počas T003 a T014,,3,Software Development,Scriptable,,,,,,,,
K000016,LO Development,Helper skript pre LO symbolic link,v testovaní,Skriptovanie / LO,🧪,Roman Kazicka,Obnova symbolic linku pre user/scripts/,13.04.2024,Podpora pre vývojové prostredie LO – vzniklo počas T015,,2,General Knowledge Work,Adaptive,,,,,,,,
K000017,Frameworks,AI-powered TERNO Planner,closed,Plánovanie / AI,📅,Roman Kazicka,Nástroj na správu a sledovanie TERNA záznamov,16.04.2025,Zaznamenané počas návrhu plánovania TERNA – prehľadový modul,,2,General Knowledge Work,Adaptive,,,,,,,,
K000019,Development,"BaZi výpočty – algoritmus, hodiny, kalendár",zaradené,Algoritmika / Osobný rozvoj,🧠,Roman Kazicka,"Výpočtový rámec BaZi v Pythone alebo Exceli, denné a hodinové analýzy, poradca",18.04.2025,Rozšírenie T005 – potreba výpočtu BaZi a hodinovej analýzy,,2,Knowledge Engineering,Exploratory,,,,,,,,
K000020,LO Platforma pre komunitu,LibreOffice ako komunitná platforma,koncept,Strategické / Komunitné,🌍,Roman Kazicka,"Podpora LO ako otvoreného, komunitného štandardu pre udržateľné riešenia",10.04.2025,Podpora LO ako komunitného nástroja v rámci T003,,3,Software Development,Scriptable,,,,,,,,
K000021,Methodology,Princíp udržateľnosti v architektúre,koncept,Metodika / SDLC,🌱,Roman Kazicka,Architektonické a dizajnové rozhodnutia s ohľadom na stabilitu a dlhodobosť,20.03.2025,Princíp objavený počas reflexie SDLC v T004 a T008,,2,General Knowledge Work,Adaptive,,,,,,,,
K000022,EducationViaJoy,TERNO – terapeutické formy učenia,plánované,Edukačné / Kultúrne/Edukačný proces,🎭,Roman Kazicka,"Satira, emócie a storytelling ako forma výuky a reflektovania reality",20.03.2025,Diskusia o forme učenia počas plánovania T004,,2,Learning Design,Teaching-oriented,,,,,,,,
K000023,Smalltalks,AI interakcie – časová os a emócie,v návrhu,AI / UX / Sebapoznanie,🧭,Roman Kazicka,"Zaznamenávanie malých interakcií, small-talkov a spätných väzieb pre orientáciu v čase",13.04.2025,Reflexia počas návrhu AI klienta – T018,,2,General Knowledge Work,Adaptive,,,,,,,,
K000024,PersonalKMsystem,OneNote ako zdroj metadát pre AI,v návrhu,Integrácia / Poznámky,🗃️,Roman Kazicka,Prepájanie osobného poznámkového systému s AI klientom a projektmi,13.04.2025,Väzba medzi OneNote a projektovým manažmentom – T017,,2,General Knowledge Work,Adaptive,,,,,,,,
K000025,Methodology,Kategorizácia TERNO podľa SDLC a 7D,zaradené,Metodika / Evidencia,📊,Roman Kazicka,Zaradenie každého TERNO podľa fázy vývoja a vedomostnej disciplíny,01.03.2025,Systematizácia potreby klasifikovať TERNA – vzniklo pri tvorbe SSOT,,2,General Knowledge Work,Adaptive,,,,,,,,
K000026,Framework / Edukačné,"KNIFE Framework pre vývoj a učenie sa (LibreOffice, Python)",v procese,Framework / Metodika / Edukačný základ,🔥,Roman Kazicka,"Jednotný rámec pre budovanie, testovanie a učenie sa v malých krokoch pomocou LibreOffice + Python. Každý krok reprezentuje samostatnú jednotku (TERNO), ktorú je možné testovať a spätne dohľadať. Vhodné na výuku aj profesionálny vývoj.",20.04.2025,"Pri vývoji Personalised Calendards vznikla potreba vytvorič si „Dieľňu“ pre LO,Projekt 05-LibreOffice, priečinok 01-PersonalisedCalendars/01-Basic-Calendar/4/terno-framework","LibreOffice, Python, VS Code, Testovanie, JSON, Git",3,Software Development,Scriptable,,,,,,,,
K000027,Versioning / Git,Git For Dummies – Central Concepts,v príprave,Edukačné / Praktické,🎯,Roman Kazicka,"Jednoduché vysvetlenie Git základov pre začiatočníkov v GitEA (organizácia, repozitár, working directory, atď.)",28.04.2025,Vzniklo ako základný materiál pre školenie GitEA procesov a tímovú prácu,"Git, GitEA",2,Software Configuration,Learning-based,,,,,,,,
