HEADER
"DATA START"
ID,display_id,GUID,DID,DAO,ShortTitle,Category,Type,Status,Priority,Created [YYYY-MM-DD],Author,Authors,Tags,Description,Context_Origin_WhyItWasInitiated,Technology,SFIA_Level,SFIA_Domain,SFIA_Maturity,Related_KNIFE,PotentialOutputs,Owner,Org,Project,Locale,FolderName,SidebarLabel,LinkSlug,Copyright,RightsHolderContent,RightsHolderSystem,License,Disclaimer
K000,,728afefa-b72f-4aa6-b31e-4a388cdd7a46,,,EA modelovanie a motivácia,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000001-ea-modelovanie-a-motivacia,,,,,,,
K000,,6cf87ac0-1644-4134-8c67-8e61da2dca78,,,Git workflow pre EA modely,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000002-git-workflow-pre-ea-modely,,,,,,,
K000,,dd435f3c-8a1d-4fc0-b873-12645f6aa10f,,,LibreOffice + Python integrácia,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000003-libreoffice-python-integracia,,,,,,,
K000,,76ab8f65-0259-48ab-adbf-86cfa6a80d57,,,Docker pre študentov (K12),,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000004-docker-pre-studentov-k12,,,,,,,
K000,,610c8ab7-dffb-4172-bf31-0fd95e5102dd,,,BaZi pre racionálne duše,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000005-bazi-pre-racionalne-duse,,,,,,,
K000,,278b53c7-c34d-42b5-8969-3d22e63badd7,,,Tímová správa práv v Gitea,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000006-timova-sprava-prav-v-gitea,,,,,,,
K000,,745a9616-e53d-4a82-b14d-7e7fbf8bfef8,,,Helper skript na obrázky v Markdown,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000007-helper-skript-na-obrazky-v-markdown,,,,,,,
K000,,fbb56d3a-aa9f-4594-bdfd-b30c12c09174,,,DCMM a DAO – hodnota leadershipu,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000008-dcmm-a-dao-hodnota-leadershipu,,,,,,,
K000,,2a2564bd-e234-42ed-acd9-e80ddb128b17,,,LinkedIn post engine – AI automatizácia,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000009-linkedin-post-engine-ai-automatizacia,,,,,,,
K000,,833ed8e5-8144-4de4-b63a-1d6000dee2a1,,,OpenAI klient – vlastná AI komunikácia,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000010-openai-klient-vlastna-ai-komunikacia,,,,,,,
K000,,f5282c5a-cda6-4028-8f5a-ce9d3637c5c8,,,Main.xba šablóna pre LO Basic,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000011-main-xba-sablona-pre-lo-basic,,,,,,,
K000,,5c2a2821-7814-4e7f-b479-33fd736bf633,,,EA Workflow Add-In – pokročilé šablóny,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000012-ea-workflow-add-in-pokrocile-sablony,,,,,,,
K000,,fea26033-7add-4816-bfc1-a7e65df4d2b4,,,ReadOnlyControl v EA – Workflow Add-In,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000013-readonlycontrol-v-ea-workflow-add-in,,,,,,,
K000,,56e95dd8-a633-4850-8615-063ce541fc44,,,Manažér knižníc pre LO Basic,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000014-manazer-kniznic-pre-lo-basic,,,,,,,
K000,,67a1b9c8-6fc2-4c20-94dd-95a08111ec73,,,LibreOffice Basic → Python migrácia,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000015-libreoffice-basic-python-migracia,,,,,,,
K000,,daf7cda8-38d2-4206-84f7-1cdc8a169276,,,Helper skript pre LO symbolic link,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000016-helper-skript-pre-lo-symbolic-link,,,,,,,
K000,,41a44dfe-5b85-480a-8168-710530b572d6,,,AI-powered TERNO Planner,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000017-ai-powered-terno-planner,,,,,,,
K000,,986a2d27-e983-4c02-b17b-f54b5625c188,,,"BaZi výpočty – algoritmus, hodiny, kalendár",,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000019-bazi-vypocty-algoritmus-hodiny-kalendar,,,,,,,
K000,,9c178019-c50a-4a28-b344-afd80f289523,,,LibreOffice ako komunitná platforma,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000020-libreoffice-ako-komunitna-platforma,,,,,,,
K000,,48dbd9ae-966a-4a5b-8eda-bd4257793384,,,Princíp udržateľnosti v architektúre,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000021-princip-udrzatelnosti-v-architekture,,,,,,,
K000,,27ffa9b9-04b5-4a79-921c-38123de82f2d,,,TERNO – terapeutické formy učenia,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000022-terno-terapeuticke-formy-ucenia,,,,,,,
K000,,a9ea072a-2fc0-425a-ac4d-9140d92ab221,,,AI interakcie – časová os a emócie,,,,,2025-09-17,Roman Kazicka,,KNIFE,,,,,,,,,,,,,K000023-ai-interakcie-casova-os-a-emocie,,,,,,,
