ID,display_id,GUID,DID,DAO,ShortTitle,Category,Type,Status,Priority,Created [YYYY-MM-DD],Author,Authors,Tags,Description,Context_Origin_WhyItWasInitiated,Technology,SFIA_Level,SFIA_Domain,SFIA_Maturity,Related_KNIFE,PotentialOutputs,Owner,Org,Project,Locale,FolderName,SidebarLabel,LinkSlug,Copyright,RightsHolderContent,RightsHolderSystem,License,Disclaimer
K000001,,728afefa-b72f-4aa6-b31e-4a388cdd7a46,,,EA modelovanie a motivácia,Verzionanie-sdlc,Integrácia,done,🎯,01.03.2024,Roman Kazicka,,,Systém motivácie pomocou lízaniek a spätnej väzby,"Jedno z prvých TERNO, vzniklo pri návrhu systému motivácie v rámci tímu",,2,Business Analysis / Modelling,Diagrammatic,,,,,,,,,,,,,,
K000002,,6cf87ac0-1644-4134-8c67-8e61da2dca78,,knife,Git workflow pre EA modely,Platformy,Vývoj / Integrácia,inprogress,🔥,04.03.2024,Roman Kazicka,,,"Multirelease stratégie, LemonTree, merge politiky",Založené na reálnej potrebe riešiť multirelease workflow pre EA,,3,Configuration Management,Tool-based,,,,,,,,,,,,,,
K000003,,dd435f3c-8a1d-4fc0-b873-12645f6aa10f,,knife,LibreOffice + Python integrácia,Technologie,Edukačné,inprogress,🔥,08.03.2024,Roman Kazicka,,,Skriptovanie v LO cez Python a venv izolácie,Reakcia na požiadavku na moderný vývoj v LibreOffice – Python/venv,,3,Software Development,Scriptable,,,,,,,,,,,,,,
K000004,,76ab8f65-0259-48ab-adbf-86cfa6a80d57,,knife,Docker pre študentov (K12),RiverOfMyLife,Osobný rozvoj / Algoritmika,backlog,🧠,20.03.2024,Roman Kazicka,,,Zjednodušené návody a obrázky pre začiatočníkov,Vzniklo ako návrh edukačného materiálu pri tvorbe kurzov pre Docker,,2,DevOps / Infrastructure,Learning-based,,,,,,,,,,,,,,
K000005,,610c8ab7-dffb-4172-bf31-0fd95e5102dd,,knife,BaZi pre racionálne duše,UserGuide,Správa Gitea / Práva,backlog,💡,18.04.2025,Roman Kazicka,,,Sebapoznanie cez dátum a čas narodenia (BaZi),Záznam vznikol počas diskusie o TCM a racionálnom prístupe k BaZi,,2,Knowledge Engineering,Exploratory,,,,,,,,,,,,,,
K000006,,278b53c7-c34d-42b5-8969-3d22e63badd7,,knife,Tímová správa práv v Gitea,UserGUide,Správa/Automatizácia,backlog,📌,08.04.2024,Roman Kazicka,,,"Rozdelenie práv podľa tímov, chránené vetvy, PR politiky",Zaznamenané počas diskusie o Gitea právach a workflow – T002,,3,Configuration Management,Tool-based,,,,,,,,,,,,,,
K000007,,745a9616-e53d-4a82-b14d-7e7fbf8bfef8,,knife,Helper skript na obrázky v Markdown,Leadership,Hodnoty / Strategické,aktívne,⚙️,17.04.2024,Roman Kazicka,,,Generovanie obrázkových blokov do .md vrátane URL,Vzniklo pri návrhu Markdown workflow helpera – súvisiace s T007,,2,General Knowledge Work,Adaptive,,,,,,,,,,,,,,
K000008,,fbb56d3a-aa9f-4594-bdfd-b30c12c09174,,knife,DCMM a DAO – hodnota leadershipu,Marketing,Marketing / AI,inprogress,🧭,04.04.2024,Roman Kazicka,,,"Sebariadenie, dôvera a samočistiace systémy",Diskusia o leadership kvalite v rámci strategických tém – T008,,2,Business Analysis / Modelling,Diagrammatic,,,,,,,,,,,,,,
K000009,,2a2564bd-e234-42ed-acd9-e80ddb128b17,,knife,LinkedIn post engine – AI automatizácia,Products,Vývoj / AI,backlog,🧪,10.04.2024,Roman Kazicka,,,Generovanie postov na LinkedIn z obsahu,"Myšlienka z praxe na LinkedIn, súvis s T009 a zdieľaním obsahu",,2,General Knowledge Work,Adaptive,,,,,,,,,,,,,,
K000010,,833ed8e5-8144-4de4-b63a-1d6000dee2a1,,knife,OpenAI klient – vlastná AI komunikácia,LO vývoj,Šablóny / LO,backlog,⚡,13.04.2024,Roman Kazicka,,,Appka s prepojením na OpenAI API a archív komunikácie,"Začiatok vývoja AI nástroja, súvisí s plánom T018",,2,General Knowledge Work,Adaptive,,,,,,,,,,,,,,
