ID,display_id,GUID,ShortTitle,Category,Type,Status,Priority,Date,Author,Authors,Tags,Description,FolderName,SidebarLabel,LinkSlug,Org,Project,Locale,Unnamed: 0,List of Knowledge Contributions – KNIFES,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Stlpce pre automaticke generovanie md súborov,DisplayID
,,,,,,,,,,,,,untitled,,,,,,,ShortTitle,Description,Status,Category,Type,Tags,Author,DisplayID,GUID,created,Priority,"Context, Origin, Why it was initiated?",Technology,SFIA – Level,SFIA – Domain (?),SFIA – Maturity,Related KNIFE,Potential Outputs,Owner,FolderName,SidebarLabel,LinkSlug,
,,,,,,,,,,,,,untitled,,,,,,K000001,EA modelovanie a motivácia,Systém motivácie pomocou lízaniek a spätnej väzby,hotové,Methodology,Metodika / Nástroj,,Roman Kazicka,,,01.03.2024,🎯,"Jedno z prvých TERNO, vzniklo pri návrhu systému motivácie v rámci tímu",,2,Business Analysis / Modelling,Diagrammatic,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000002,Git workflow pre EA modely,"Multirelease stratégie, LemonTree, merge politiky",v procese,Verzionanie-sdlc,Integrácia,,Roman Kazicka,,,04.03.2024,🔥,Založené na reálnej potrebe riešiť multirelease workflow pre EA,,3,Configuration Management,Tool-based,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000003,LibreOffice + Python integrácia,Skriptovanie v LO cez Python a venv izolácie,v procese,Platformy,Vývoj / Integrácia,,Roman Kazicka,,,08.03.2024,🔥,Reakcia na požiadavku na moderný vývoj v LibreOffice – Python/venv,,3,Software Development,Scriptable,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000004,Docker pre študentov (K12),Zjednodušené návody a obrázky pre začiatočníkov,plánované,Technologie,Edukačné,,Roman Kazicka,,,20.03.2024,🧠,Vzniklo ako návrh edukačného materiálu pri tvorbe kurzov pre Docker,,2,DevOps / Infrastructure,Learning-based,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000005,BaZi pre racionálne duše,Sebapoznanie cez dátum a čas narodenia (BaZi),zaradené,RiverOfMyLife,Osobný rozvoj / Algoritmika,,Roman Kazicka,,,18.04.2025,💡,Záznam vznikol počas diskusie o TCM a racionálnom prístupe k BaZi,,2,Knowledge Engineering,Exploratory,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000006,Tímová správa práv v Gitea,"Rozdelenie práv podľa tímov, chránené vetvy, PR politiky",pripomenúť,UserGuide,Správa Gitea / Práva,,Roman Kazicka,,,08.04.2024,📌,Zaznamenané počas diskusie o Gitea právach a workflow – T002,,3,Configuration Management,Tool-based,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000007,Helper skript na obrázky v Markdown,Generovanie obrázkových blokov do .md vrátane URL,aktívne,UserGUide,Správa/Automatizácia,,Roman Kazicka,,,17.04.2024,⚙️,Vzniklo pri návrhu Markdown workflow helpera – súvisiace s T007,,2,General Knowledge Work,Adaptive,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000008,DCMM a DAO – hodnota leadershipu,"Sebariadenie, dôvera a samočistiace systémy",plánované,Leadership,Hodnoty / Strategické,,Roman Kazicka,,,04.04.2024,🧭,Diskusia o leadership kvalite v rámci strategických tém – T008,,2,Business Analysis / Modelling,Diagrammatic,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000009,LinkedIn post engine – AI automatizácia,Generovanie postov na LinkedIn z obsahu,koncept,Marketing,Marketing / AI,,Roman Kazicka,,,10.04.2024,🧪,"Myšlienka z praxe na LinkedIn, súvis s T009 a zdieľaním obsahu",,2,General Knowledge Work,Adaptive,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000010,OpenAI klient – vlastná AI komunikácia,Appka s prepojením na OpenAI API a archív komunikácie,začiatok,Products,Vývoj / AI,,Roman Kazicka,,,13.04.2024,⚡,"Začiatok vývoja AI nástroja, súvisí s plánom T018",,2,General Knowledge Work,Adaptive,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000011,Main.xba šablóna pre LO Basic,Základná štartovacia knižnica makier v LibreOffice,v backlogu,LO vývoj,Šablóny / LO,,Roman Kazicka,,,09.04.2024,🧱,Téma makier v LibreOffice – samostatný štartovací modul,,2,General Knowledge Work,Adaptive,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000012,EA Workflow Add-In – pokročilé šablóny,Workflow pre pokročilých analytikov v EA,v backlogu,ModelValidation,QualityOFModel/EA Add-In,,Roman Kazicka,,,10.04.2024,📂,Rozšírenie pre EA Add-In v rámci T012,,3,Configuration Management,Tool-based,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000013,ReadOnlyControl v EA – Workflow Add-In,Obmedzenie práv v EA na základe kontextu a roly,koncept,ModelValidation,EA Add-In,,Roman Kazicka,,,10.04.2024,🔒,Doplnok k EA Add-In – konkrétne obmedzenia práv (ReadOnly),,3,Configuration Management,Tool-based,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000014,Manažér knižníc pre LO Basic,Načítanie a správa knižníc v LO Basic,návrh,LO Development,LibreOffice / Knižnice,,Roman Kazicka,,,10.04.2024,📚,Nástroj pre správu LO knižníc – samostatne definovaný,,2,General Knowledge Work,Adaptive,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000015,LibreOffice Basic → Python migrácia,Konverzia VB makier do Python skriptov,aktívne,LO Vývoj,Migrácia / Vývoj,,Roman Kazicka,,,13.04.2024,🔁,Migrácia z VB do Python – vzniklo počas T003 a T014,,3,Software Development,Scriptable,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000016,Helper skript pre LO symbolic link,Obnova symbolic linku pre user/scripts/,v testovaní,LO Development,Skriptovanie / LO,,Roman Kazicka,,,13.04.2024,🧪,Podpora pre vývojové prostredie LO – vzniklo počas T015,,2,General Knowledge Work,Adaptive,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000017,AI-powered TERNO Planner,Nástroj na správu a sledovanie TERNA záznamov,closed,Frameworks,Plánovanie / AI,,Roman Kazicka,,,16.04.2025,📅,Zaznamenané počas návrhu plánovania TERNA – prehľadový modul,,2,General Knowledge Work,Adaptive,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000018,"BaZi výpočty – algoritmus, hodiny, kalendár","Výpočtový rámec BaZi v Pythone alebo Exceli, denné a hodinové analýzy, poradca",zaradené,Development,Algoritmika / Osobný rozvoj,,Roman Kazicka,,,18.04.2025,🧠,Rozšírenie T005 – potreba výpočtu BaZi a hodinovej analýzy,,2,Knowledge Engineering,Exploratory,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000019,LibreOffice ako komunitná platforma,"Podpora LO ako otvoreného, komunitného štandardu pre udržateľné riešenia",koncept,LO Platforma pre komunitu,Strategické / Komunitné,,Roman Kazicka,,,10.04.2025,🌍,Podpora LO ako komunitného nástroja v rámci T003,,3,Software Development,Scriptable,,,,,,,
,,,,,,,,,,,,,untitled,,,,,,K000020,Princíp udržateľnosti v architektúre,Architektonické a dizajnové rozhodnutia s ohľadom na stabilitu a dlhodobosť,koncept,Methodology,Metodika / SDLC,,Roman Kazicka,,,20.03.2025,🌱,Princíp objavený počas reflexie SDLC v T004 a T008,,2,General Knowledge Work,Adaptive,,,,,,,
